Level Name,Creator,Completion Date,Attempts,Enjoyment,Worst Fail,Link
Firework,TrickGMD,18-07-2025,70137,8/10,64,https://youtu.be/KTgeavp7KEM?si=nvINEofcnHS99f9j
Tartarus,ItzDolphy,27-09-2024,77694,5/10,86,https://youtu.be/s54xkGOLHsk?si=OyXAIciYAqkHh824
Shukketsu,zYuko,01-06-2024,87449,7/10,86,https://youtu.be/9GCy_y6W7ek?si=5I6kHZf_dM88t42W
Judgement Knights,HangerLord,12-02-2025,45457,9/10,79,https://youtu.be/xGqamrPxSjw?si=lnGkSalJs-ThPau2
Thinking Space,Atomic,25-08-2025,12718,3/10,91,https://youtu.be/n8mR0zHPuII?si=JilHf_aT9s8RsND1
